Global seed set to 0
tot attribs=1024, tot train samples=12608, tot test samples=2112, tot batches=197, batchLength=64, tot epochs=3
2021-09-09 00:28:35 epoch=000, batch=0000, loss=0.679285, acc=50.00%, test loss=0.675745, test acc=53.65%
2021-09-09 00:28:35 epoch=000, batch=0001, loss=0.686300, acc=39.06%, test loss=0.675682, test acc=53.65%
2021-09-09 00:28:35 epoch=000, batch=0002, loss=0.677313, acc=51.56%, test loss=0.675615, test acc=53.65%
2021-09-09 00:28:35 epoch=000, batch=0003, loss=0.669687, acc=62.50%, test loss=0.675537, test acc=53.69%
2021-09-09 00:28:35 epoch=000, batch=0004, loss=0.675163, acc=54.69%, test loss=0.675457, test acc=53.74%
2021-09-09 00:28:35 epoch=000, batch=0005, loss=0.674643, acc=54.69%, test loss=0.675375, test acc=53.74%
2021-09-09 00:28:35 epoch=000, batch=0006, loss=0.675517, acc=53.12%, test loss=0.675292, test acc=53.74%
2021-09-09 00:28:35 epoch=000, batch=0007, loss=0.674496, acc=54.69%, test loss=0.675207, test acc=53.74%
2021-09-09 00:28:35 epoch=000, batch=0008, loss=0.674184, acc=56.25%, test loss=0.675121, test acc=53.74%
2021-09-09 00:28:35 epoch=000, batch=0009, loss=0.679522, acc=50.00%, test loss=0.675037, test acc=53.74%
2021-09-09 00:28:35 epoch=000, batch=0010, loss=0.673293, acc=56.25%, test loss=0.674950, test acc=53.69%
2021-09-09 00:28:36 epoch=000, batch=0011, loss=0.683127, acc=43.75%, test loss=0.674869, test acc=53.74%
2021-09-09 00:28:36 epoch=000, batch=0012, loss=0.672368, acc=57.81%, test loss=0.674784, test acc=53.74%
2021-09-09 00:28:36 epoch=000, batch=0013, loss=0.670755, acc=60.94%, test loss=0.674697, test acc=53.74%
2021-09-09 00:28:36 epoch=000, batch=0014, loss=0.679176, acc=46.88%, test loss=0.674612, test acc=53.74%
2021-09-09 00:28:36 epoch=000, batch=0015, loss=0.670956, acc=57.81%, test loss=0.674524, test acc=53.69%
2021-09-09 00:28:36 epoch=000, batch=0016, loss=0.681949, acc=43.75%, test loss=0.674440, test acc=53.74%
